Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,201,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,58656,2012,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,369,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,347088,2012,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,327,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,55995,2012,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,54,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,12732,2012,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,957,2012,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,474468,2012,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,198,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,56538,2013,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,339,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,351873,2013,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,327,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,56310,2013,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,51,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,12825,2013,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,918,2013,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,477546,2013,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,201,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,56514,2014,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,390,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,367749,2014,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,345,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,58023,2014,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,63,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13212,2014,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1002,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,495495,2014,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,204,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,57174,2015,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,438,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,376794,2015,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,357,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,60501,2015,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,69,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13491,2015,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1068,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,507963,2015,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,207,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,56592,2016,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,462,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,387540,2016,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,372,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,60024,2016,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,78,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13476,2016,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1116,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,517632,2016,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,210,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,55737,2017,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,480,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,401667,2017,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,369,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,60843,2017,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,78,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13494,2017,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1134,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,531738,2017,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,201,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,52035,2018,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,501,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,408975,2018,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,384,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,62322,2018,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,84,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13965,2018,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1167,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,537300,2018,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,207,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,52026,2019,1
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,525,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,420933,2019,1
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,399,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,61671,2019,1
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,75,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13722,2019,1
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1203,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,548352,2019,1
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,213,2020,1 and 2 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,51234,2020,1 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authorities,Counts,540,2020,1 and 2 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,431373,2020,1 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,393,2020,1 and 2 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,61497,2020,1 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,81,2020,1 and 2 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13581,2020,1 and 3
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authorities,Counts,1230,2020,1 and 2 and 3
